tweet_id,sentiment,content
1956967666,2,Layin n bed headache ughhhh ... waitin call ...
1956967696,2,Funeral ceremony ... gloomy friday ...
1956968477,3,Re-pinging @ ghostridah14 : n't go prom ? BC bf n't like friends
1956968487,2,"I sleep , im ! thinking old friend I want . 's married . damn , & amp ; wants 2 ! scandalous !"
1956968636,3,Hmmm . http : //www.djhero.com/
1956969035,2,@ charviray Charlene love . I miss
1956969172,2,@ kelcouch I 'm sorry least 's Friday ?
1956969531,3,Choked retainers
1956970047,2,Ugh ! I beat stupid song get next rude !
1956970424,2,@ BrodyJenner u watch hills london u realise tourture weeks weeks late watch itonlinelol
1956971077,2,The storm electricity gone
1956971170,1,@ annarosekerr agreed
1956971206,2,So sleepy 's even late . I fail .
1956971473,3,@ PerezHilton lady gaga tweeted impressed video leaking know
1956971586,2,How YOU convinced I always wanted ? What signals I give ... damn I think I lost another friend
1956971981,3,@ raaaaaaek oh bad ! I hope gets better . I 've sleep issues lately
1956972270,3,I ate Something I n't know ... Why I keep Telling things food
1956972359,2,tired think 'm definitely going get ear infection . going bed & quot ; early & quot ; .
1956972444,3,On way home n 2 deal w underage girls drinking gin da bus talking bout keggers ...... damn feel old
1956972557,2,"@ IsaacMascote 'm sorry people rude , isaac , get manners know better lewd !"
1956972884,3,Damm servers still need hit 80 koxpers pass
1956973598,2,Fudge .... Just BS 'd whole paper .... So tired .... Ugh I hate school ..... time sleep ! ! ! ! ! ! ! ! ! ! !
1956973690,3,I HATE CANCER . I HATE IT I HATE IT I HATE IT .
1956976312,2,@ ether_radio yeah : S feel funny cause n't slept enough woke mum cause singing 's impressed : S ?
1956976371,3,I need skott right
1956977084,0,mmm much better day ... far ! 's still quite early . last day # uds
1956977618,3,picked Blackberry middle street ! Both crushed !
1956977624,3,Why I feeling I packing hitting SFO around time year ? I think I 'm missing something ...
1956978410,3,"Bed ! ! ! ! ! ... time , ..... hope go school tomorrow , though n't feel well right"
1956978668,3,"@ onscrn Ahh . ... Well , I hoping I could learn stuff way . ... Why I work separate things also"
1956979150,2,I 'm problem photo twitter amf ! ! ! ... ca n't see face !
1956979900,3,tired ?
1956980972,3,sucks able take days work money take trip sad
1956982383,2,"@ maternitytees Aww Onward upwards , yay ! Still sad leave I bet ."
1956982449,3,@ itsgabbith haha . poor aby still gets sore !
1956982576,2,diesel yaris ... 70mpg sad available US . That 'd awesome .
1956982605,2,I want buy great album unfortunately dont hav enuff funds & quot ; long time noisy & quot ;
1956983160,2,@ Pokinatcha honesty ... pain blech .
1956983171,2,Ok ... passengers ... one alive ... 're dead ... n't know til end ... cry ...
1956983509,3,@ DavidCookLove ia much ! n't really happy cooks choices singles .
1956983690,2,@ vincew @ stefanyngo fell asleep beach n't put enough sunscreen lol
1956983851,3,So think son might flu cause I def . cleaned stanky puke mess Poor pumkpin
1956983874,0,"So great see Oin & amp ; Cynthia . So happy . Dinner great , cute little place . Too bad Oin got sick afterwards ."
1956984185,3,... woman transfer first impressions ( sexual/maternal ) onto less 'threatening ' man -- weak 'Him '
1956984864,3,"Bitten blood cat , way rabies bacterin . Seems 7 shots 2 months . Never wash cats home , hate water"
1956985535,0,"@ havingmysay dude , favorite sandwich place ever . ummm take PICTURES ?"
1956985612,3,sad shin ae got married ... n't alex
1956985758,3,"@ shondarhimes Sure tweet 're back , news abuzz TR Knight 's leaving & quot ; confirmed & quot ; today . Muy triste ."
1956985764,2,@ RachelLock22 ohh thursday exams .. day wednesday ?
1956986211,2,"@ gcrush @ nopantsdance thinking excited guys move , realized sad see go ."
1956986359,3,"goooood mooorning people ... sun .. definitly spring , first spring hail storm , car dimples .."
1956986767,2,@ artfuldodga I love 'it'sakey ' USB sticks . We 4GB Australia
1956987381,3,fresh prince sleepy sleeps nightly routine got ta go Dmv early tmrw
1956987828,3,@ emmarler jealous mom talking @ taylorswift13 . want see twittering making miss
1956987904,3,I ca n't sleep ... I keep thinking puppy I played today
1956987950,3,.. I 'm suppposed sleep . But got much . & amp ; got one part song stuck head & quot ; jerk ( iknow ) & quot ; blaahh
1956988223,3,"Last one month due summer , strawberry availble Chennai markets !"
1956989093,1,@ RobertF3 correct ! I ADORE . I plucked put arm cuz cryin . All better ! Hahaha
1956989514,2,@ sweeetnspicy hiii im ipod ... cant fall asleep
1956989526,2,dont wan na work 11-830 tomorrow get paid
1956989560,2,feels sad coz wasnt able play guys ! ! ! http : //plurk.com/p/wxiux
1956989914,3,First ever dropped call mobile . On call @ Telstra less ! ( charged data even though I data pack )
1956990568,2,Darn allergies ! I n't like time year ! I never used problem either
1956990729,3,Oh one minute late ! Oh well
1956991673,2,@ cayogial wanted come BZ summer : / sure anymore ... teacher 's life summer SUCKS
1956991723,3,ahh ! big scary bug flying around room ! ! ! ! !
1956992030,2,"I wish knew puts .. She stole heart , never gave back .. occasionally likes like look I !"
1956992144,3,nasty cough cant sick huge weekend ahead
1956995196,2,@ neesabear early happy day birth case I n't make ! Very tired therapy today n taking medicine ! misshu ! Love ya !
1956995762,2,Allergies suck ducks nuts . & lt ; =====8 @ 8===== & gt ;
1956996385,1,@ freepbx sounds good . Appreciate suggestion . Been week 're still offline Time ask refund ...
1956996470,3,"@ poinktoinkdoink He died . Wait , Magic Jack ? I read ."
1956996730,2,wonders Karma points turned 0.00. http : //plurk.com/p/wxj54
1956996765,0,"Need pack CALI CALI ! Can waittt ! Thinking glass wine order celebrate weekend vaca . Still work 2morrow , tho ."
1956996776,2,Is miserable feel like im gona cry sux !
1956997352,3,$ # @ ! My nose stud fell I ca n't find Looks like I 'll head Amsterdam today get new one
1956998370,1,Pats philly 2 . I love . Mmm cheesesteak . Miss boyfriend I love vacation .
1956998532,2,* sigh * I 'm going bed ... I n't feel right anymore ...
1956998704,2,Now I depressed watching think dance
1957000040,2,"Just cross 'cause I 'm stuck twiddling thumbs , ugh"
1957000290,3,"I cant sleep , im sore move"
1957000788,3,Achieving new appreciation xml build script really painful cumbersome
1957001370,3,@ omfgiselle cant anything
1957002082,2,"Last day working Uni today , sad times"
1957002773,1,"@ NisforNeemah thanks neemah . I 'm gon na soooo close izzy , yet far"
1957002923,3,My head hurts bad I could scream !
1957003048,3,go IM SO TIRED airmatras broken somewhere im even pain
1957003356,3,New work wellness challenge going well . I committed check email 10 pm 6 . Failed first day . Twice
1957003440,3,New blog post : [ Blog ] auto insuran ... : I found auto insurance policy expired . ( I careless ... ) .. Meanw ...
1957004184,3,oh men ! ! ! ! ! ! ...... I really ca n't see face ........ c'mon guys ! ! !
1957004519,3,"I 'm showing age . Renewed tags last week , went $ 20 . Got insurance renewal email today , went $ 100 . I n't wan na old"
1957004606,3,sole supporter sole supporter
1957005165,3,@ Emilyyy16 urgh stop guys
1957005226,2,still missing husband . I really want home .
1957005279,2,I miss puppy
1957005713,2,@ nzdeany I 've given pizza - kids would never let fav ( hot ones )
1957005817,3,Up reading tabloids people 's lives ... thinking I 'm gon na mine baby leaves ?
1957006033,2,@ BarbSchaefer yearling pet home died ... sad whole family
1957006098,3,I got giant splinter stuck underneath finger nail today Muppets ... hurt . But I got go First Aid first time !
1957006245,2,"@ heresmyhello92 We hate change , course . We 're fans life . & lt ; 3 Oh n't met Rob something went horribly wrong ."
1957006307,3,feeling sad ... reason .. http : //plurk.com/p/wxji3
1957006547,2,well fuck- new pain med odd warning actually applies . ca n't take . -chan displeased .
1957006674,2,uploaded new blog ... painful story 80s year old man cried wanted die ... sad
1957006947,3,"@ jaychuck Its addicting , kind curse night time . Everytime one , feel like making music afterwards"
1957007633,2,I saw pics past Thanksgiving sad Grandma .
1957007981,3,@ jertronic wont let
1957008075,2,Took shift tomorrow . I n't really feel like working right .
1957008193,2,money phone
